n_threads,train_time,build_time,query_time,qps
1,0.09559650421142578,0.055915451049804686,0.6347283363342285,403.3221542912151
2,0.051028776168823245,0.032187604904174806,0.31931281089782715,801.7216699830881
4,0.027519702911376953,0.019916391372680663,0.1618799686431885,1581.4186408960109
8,0.01594390869140625,0.013710641860961914,0.0828160285949707,3091.1890408561144
16,0.010071229934692384,0.009515905380249023,0.04263415336608887,6004.575669693536
32,0.007801246643066406,0.008392333984375,0.023618221282958984,10839.08889382407
64,0.006667137145996094,0.007165193557739258,0.013642168045043946,18765.345739382097
128,0.029616737365722658,0.010338640213012696,0.014118432998657227,18132.323893476536
