Metric,Base Index,Best Index,\# Threads,Max Speedup (×)
Train,QPara,SIMDQPara,8,19.851168718738684
Build,CPara,SIMDQPara,8,12.608900944345057
Query,CPara,SIMDQPara,8,18.007956422805012
