Metric,Base Index,Best Index,\# Threads,Max Speedup (×)
Train,QPara,SIMDQPara,16,16.708835536547692
Build,QPara,QPara,64,7.412498718868726
Query,CPara,CacheV2QPara,64,43.804355581983344
