Metric,Base Index,Best Index,\# Threads,Max Speedup (×)
Train,QPara,CacheV2SIMDQPara,128,214.53219180796717
Build,QPara,SIMDCPara,128,50.45411518103882
Query,CPara,CacheV2SIMDQPara,32,27.386159554553373
