Metric,Base Index,Best Index,\# Threads,Max Speedup (×)
Train,QPara,SIMDQPara,128,312.3192846717622
Build,QPara,SIMDQPara,128,51.26092374718856
Query,QPara,SIMDQPara,64,31.244227571788144
