Metric,Base Index,Best Index,\# Threads,Max Speedup (×)
Train,CPara,SIMDQPara,8,18.27649144877436
Build,CPara,SIMDCPara,8,6.491552239002788
Query,CPara,SIMDQPara,8,14.402524126948848
