n_threads,train_time,build_time,query_time,qps
1,0.23528051376342773,0.880286693572998,1.5141406059265137,66.04406460574992
2,0.11537694931030273,0.49596500396728516,0.7918012142181396,126.29432514667779
4,0.05933189392089844,0.3000600337982178,0.4427359104156494,225.86828320774336
8,0.031442880630493164,0.20298314094543457,0.26752448081970215,373.7975668379856
16,0.018596887588500977,0.15752506256103516,0.22945261001586914,435.8198409383267
32,0.013634204864501953,0.13271379470825195,0.19814848899841309,504.67202907008226
64,0.01163482666015625,0.12693071365356445,0.18973755836486816,527.0437801655406
128,0.7879154682159424,0.14471077919006348,0.47224974632263184,211.75236361414994
