n_threads,train_time,build_time,query_time,qps
1,0.8806445598602295,2.8867006301879883,13.35076642036438,19.17492913436898
2,0.4541630744934082,1.4575450420379639,7.229662656784058,35.40967430337552
4,0.22937631607055664,0.7697789669036865,4.516899108886719,56.6760500575131
8,0.11797428131103516,0.4235727787017822,3.9140262603759766,65.40579520164205
16,0.06328034400939941,0.24163222312927246,5.385376691818237,47.53613621660475
32,0.03837180137634277,0.15828371047973633,11.316213369369507,22.622408366117902
64,0.03618431091308594,0.11074495315551758,27.450586795806885,9.325848001147442
128,0.21744346618652344,0.12319540977478027,57.61823844909668,4.443037602167678
