n_threads,train_time,build_time,query_time,qps
1,8.35245966911316,9.855597972869873,54.98254632949829,4.656022994385316
2,4.272646903991699,5.481068134307861,27.560288667678833,9.288727091607807
4,2.1996359825134277,3.3430566787719727,14.534037113189697,17.61382594569536
8,1.2156846523284912,2.2593166828155518,9.35284423828125,27.37135287169548
16,0.6600468158721924,1.674346685409546,5.250329494476318,48.758844615243355
32,0.41968631744384766,1.3982560634613037,4.383274078369141,58.40383134226652
64,0.30938243865966797,1.2420177459716797,4.746514320373535,53.934315314538786
128,0.2586796283721924,1.1756806373596191,4.912118911743164,52.116002197746724
