n_threads,train_time,build_time,query_time,qps
1,0.03765029907226562,0.010788249969482421,0.10669088363647461,2399.4552418579915
2,0.020592498779296874,0.00732421875,0.05566740036010742,4598.741783233256
4,0.011306667327880859,0.004756784439086914,0.02864813804626465,8936.008322306277
8,0.006735372543334961,0.0033113956451416016,0.014864301681518555,17222.47068749258
16,0.004798603057861328,0.002592611312866211,0.008228349685668945,31111.949513505373
32,0.0039033412933349608,0.0022205829620361326,0.005368614196777343,47684.55892279817
64,0.004386806488037109,0.0020730018615722655,0.004419851303100586,57920.5005879751
128,0.09503130912780762,0.0025023937225341795,0.009234285354614258,27722.77335701782
