n_threads,train_time,build_time,query_time,qps
1,0.021483182907104492,0.016437768936157227,0.04047536849975586,2470.6384081618226
2,0.01213836669921875,0.007805824279785156,0.020551443099975586,4865.838350792933
4,0.0061724185943603516,0.006186246871948242,0.010545969009399414,9482.296023330997
8,0.0036559104919433594,0.004517316818237305,0.0055980682373046875,17863.304940374786
16,0.0028145313262939453,0.003721952438354492,0.003312349319458008,30190.052544446844
32,0.0024895668029785156,0.0033721923828125,0.0022652149200439453,44145.92148194927
64,0.003183126449584961,0.00322723388671875,0.001676797866821289,59637.480449310395
128,0.45630526542663574,0.016019821166992188,0.012805461883544922,7809.16775274623
