n_threads,train_time,build_time,query_time,qps
1,0.014004993438720702,0.004905271530151367,0.0529695987701416,4832.960904818189
2,0.0077187538146972655,0.0033977985382080077,0.026760149002075195,9566.463922908191
4,0.004928302764892578,0.003235197067260742,0.013971519470214844,18322.989174209226
8,0.003563404083251953,0.0027924537658691405,0.007431697845458984,34447.040948580085
16,0.00294342041015625,0.002475452423095703,0.004576683044433594,55935.70660554282
32,0.0030687332153320314,0.002272796630859375,0.0042953968048095705,59598.68473929019
64,0.003420400619506836,0.0022937297821044923,0.004022455215454102,63642.722240003786
128,0.004586982727050781,0.0023880958557128905,0.004023838043212891,63620.85085203707
